gene,log2FC,t_statistic,p_value,mean_tumor,mean_normal,adj_p_value,significant,direction
FAM107A,-3.371798570657635,-23.81987433751472,6.641899270453137e-44,7.451084000913793,10.822882571571428,8.976526864017414e-40,True,Downregulated in Tumor
CDH5,-2.6195733631481337,-21.743296916878922,1.3171357151325525e-40,6.804586173362069,9.424159536510203,8.900544595008224e-37,True,Downregulated in Tumor
PECAM1,-1.8139137417705857,-20.933863916393033,3.357324988431768e-39,9.836642019862067,11.650555761632653,1.5124749072885113e-35,True,Downregulated in Tumor
STARD13,-1.219819767119283,-20.83883172741046,5.2213366636078476e-39,7.630346923982758,8.850166691102041,1.7641591252165015e-35,True,Downregulated in Tumor
AGER,-4.417469530992963,-20.989042525804308,4.769095360383471e-38,7.459342881517242,11.876812412510205,1.2890864759116523e-34,True,Downregulated in Tumor
VWF,-2.2584735086171666,-20.904174053929918,1.4646793682264635e-37,9.567465729137933,11.8259392377551,3.0113647938652527e-34,True,Downregulated in Tumor
HIGD1B,-1.3639731366108379,-20.96340225273979,1.7149318223189973e-37,7.949560087103448,9.313533223714286,3.0113647938652527e-34,True,Downregulated in Tumor
SPP1,4.364415124273047,20.546466812949035,1.7825318794614888e-37,11.697896956068966,7.333481831795919,3.0113647938652527e-34,True,Upregulated in Tumor
FABP4,-3.838541312839549,-20.00483175076105,2.2545751787017154e-37,7.136528787793104,10.975070100632653,3.3856203933504097e-34,True,Downregulated in Tumor
CLEC3B /// EXOSC7,-3.411853498058411,-20.773668642051895,3.2516622551523154e-37,7.338750064206897,10.750603562265308,3.729818017104141e-34,True,Downregulated in Tumor
ABCA8,-2.9599096880675573,-20.313689249847563,2.925071827311036e-37,6.484079791034483,9.44398947910204,3.729818017104141e-34,True,Downregulated in Tumor
CD36,-2.416983732648136,-21.655562048800597,3.3117141106363074e-37,7.154255604862069,9.571239337510205,3.729818017104141e-34,True,Downregulated in Tumor
DUOX1,-2.176523477041168,-20.130835881504844,4.0309973954956664e-37,6.611608491224138,8.788131968265306,4.190686907701841e-34,True,Downregulated in Tumor
NPR1,-1.1821510035161857,-21.021580854928974,4.760418881537726e-37,6.992397401810345,8.174548405326531,4.595504370284454e-34,True,Downregulated in Tumor
TCF21,-2.5300979095573553,-20.611005689480415,5.754045240117095e-37,6.197361445034481,8.727459354591836,5.1843947613455024e-34,True,Downregulated in Tumor
LDB2,-2.2117825543406067,-19.696469812509037,1.993430648035232e-36,8.156378437965516,10.368160992306123,1.68382595051226e-33,True,Downregulated in Tumor
JAM2,-1.559132430157633,-20.51613761840788,4.9842602431488237e-36,7.869066989413795,9.428199419571428,3.962486893303315e-33,True,Downregulated in Tumor
FHL1,-2.5550411671062623,-20.98069355886106,5.762909707794599e-36,9.601950222689656,12.156991389795918,4.3269847056024455e-33,True,Downregulated in Tumor
CLDN5,-1.8882777294458126,-19.04298784700138,7.789970875018302e-36,8.338661903982757,10.22693963342857,5.54112928294065e-33,True,Downregulated in Tumor
EPAS1,-2.087425408263549,-18.838644598259698,1.8592689987377407e-35,10.997456538879309,13.084881947142858,1.2564010258970281e-32,True,Downregulated in Tumor
ITIH5,-1.1389693224757211,-18.839347517604878,2.335476861839724e-35,7.146870189034483,8.285839511510204,1.503046180369708e-32,True,Downregulated in Tumor
TNXA /// TNXB,-1.6941137495809286,-18.750027760812543,1.1656170758562257e-34,8.845911853051724,10.540025602632653,7.160597627362223e-32,True,Downregulated in Tumor
TGFBR3,-2.4222016803198443,-18.806979267029753,1.8361110820505633e-34,7.25811890174138,9.680320582061224,1.0789148379962333e-31,True,Downregulated in Tumor
FIGF /// PIR-FIGF,-2.554901556087967,-19.363395724710948,2.988060263535009e-34,7.817015227034482,10.37191678312245,1.6826514359031518e-31,True,Downregulated in Tumor
